resolution,feature_set,model,params,model_label,day_class,mae,rmse,n_rows
1min,minimal,ridge,light,ridge-light,full,854.1596,1437.8736,2854
1min,minimal,ridge,light,ridge-light,none,250.7782,333.7870,1440
1min,minimal,ridge,medium,ridge-medium,full,854.1612,1437.8776,2854
1min,minimal,ridge,medium,ridge-medium,none,250.6345,333.6657,1440
1min,minimal,ridge,strong,ridge-strong,full,854.1776,1437.9187,2854
1min,minimal,ridge,strong,ridge-strong,none,249.2971,332.5242,1440
1min,minimal,hgb,conservative,hgb-conservative,full,867.3334,1447.8508,2856
1min,minimal,hgb,conservative,hgb-conservative,none,254.9327,343.4309,1440
1min,minimal,hgb,balanced,hgb-balanced,full,907.7173,1475.0059,2856
1min,minimal,hgb,balanced,hgb-balanced,none,261.2925,362.1427,1440
1min,minimal,hgb,aggressive,hgb-aggressive,full,912.1735,1476.9908,2856
1min,minimal,hgb,aggressive,hgb-aggressive,none,265.2364,370.9576,1440
1min,temporal,ridge,light,ridge-light,full,835.2489,1437.7761,2854
1min,temporal,ridge,light,ridge-light,none,255.3309,337.3944,1440
1min,temporal,ridge,medium,ridge-medium,full,835.2442,1437.7776,2854
1min,temporal,ridge,medium,ridge-medium,none,255.2384,337.3118,1440
1min,temporal,ridge,strong,ridge-strong,full,835.2003,1437.7933,2854
1min,temporal,ridge,strong,ridge-strong,none,254.3330,336.5028,1440
1min,temporal,hgb,conservative,hgb-conservative,full,855.4894,1450.0157,2856
1min,temporal,hgb,conservative,hgb-conservative,none,273.7094,361.6001,1440
1min,temporal,hgb,balanced,hgb-balanced,full,888.4122,1483.3741,2856
1min,temporal,hgb,balanced,hgb-balanced,none,284.0801,376.7506,1440
1min,temporal,hgb,aggressive,hgb-aggressive,full,872.6378,1467.5531,2856
1min,temporal,hgb,aggressive,hgb-aggressive,none,229.2176,313.0545,1440
1min,curated,ridge,light,ridge-light,full,803.0021,1381.5569,2729
1min,curated,ridge,light,ridge-light,none,214.7217,303.7541,1423
1min,curated,ridge,medium,ridge-medium,full,802.9960,1381.5568,2729
1min,curated,ridge,medium,ridge-medium,none,214.7085,303.7414,1423
1min,curated,ridge,strong,ridge-strong,full,802.9357,1381.5561,2729
1min,curated,ridge,strong,ridge-strong,none,214.5785,303.6162,1423
1min,curated,hgb,conservative,hgb-conservative,full,855.4823,1408.3304,2856
1min,curated,hgb,conservative,hgb-conservative,none,278.4098,382.1415,1440
1min,curated,hgb,balanced,hgb-balanced,full,842.9268,1421.8074,2856
1min,curated,hgb,balanced,hgb-balanced,none,222.5999,326.6554,1440
1min,curated,hgb,aggressive,hgb-aggressive,full,839.1568,1414.0763,2856
1min,curated,hgb,aggressive,hgb-aggressive,none,227.6212,332.4120,1440
1min,full,ridge,light,ridge-light,full,775.7788,1272.9277,656
1min,full,ridge,light,ridge-light,none,202.6542,254.8427,956
1min,full,ridge,medium,ridge-medium,full,775.7599,1272.9361,656
1min,full,ridge,medium,ridge-medium,none,202.5228,254.6957,956
1min,full,ridge,strong,ridge-strong,full,775.5637,1273.0171,656
1min,full,ridge,strong,ridge-strong,none,201.3144,253.3355,956
1min,full,hgb,conservative,hgb-conservative,full,740.0397,1185.7606,2856
1min,full,hgb,conservative,hgb-conservative,none,231.4734,326.5357,1440
1min,full,hgb,balanced,hgb-balanced,full,688.3322,1161.4955,2856
1min,full,hgb,balanced,hgb-balanced,none,192.7215,270.6192,1440
1min,full,hgb,aggressive,hgb-aggressive,full,680.8128,1149.0613,2856
1min,full,hgb,aggressive,hgb-aggressive,none,193.4384,269.5918,1440
1min,temporal_no_workday,ridge,medium,ridge-medium,full,843.9308,1443.7847,2854
1min,temporal_no_workday,ridge,medium,ridge-medium,none,258.6935,343.9202,1440
