resolution,feature_set,model,params,model_label,hour,mae,rmse,n_rows
1min,minimal,ridge,light,ridge-light,0,219.4065,283.6554,180
1min,minimal,ridge,light,ridge-light,1,305.8597,400.4821,180
1min,minimal,ridge,light,ridge-light,2,261.8310,411.9640,180
1min,minimal,ridge,light,ridge-light,3,585.8407,1321.2395,180
1min,minimal,ridge,light,ridge-light,4,676.4643,954.8249,180
1min,minimal,ridge,light,ridge-light,5,928.5180,1459.7513,180
1min,minimal,ridge,light,ridge-light,6,1335.4565,2083.9239,180
1min,minimal,ridge,light,ridge-light,7,1196.8569,1732.7986,167
1min,minimal,ridge,light,ridge-light,8,1121.3375,1791.5707,175
1min,minimal,ridge,light,ridge-light,9,1428.4359,2092.9904,180
1min,minimal,ridge,light,ridge-light,10,1030.3666,1556.8365,176
1min,minimal,ridge,light,ridge-light,11,870.3461,1392.9772,176
1min,minimal,ridge,light,ridge-light,12,761.7854,1287.1784,180
1min,minimal,ridge,light,ridge-light,13,823.4969,1263.4265,180
1min,minimal,ridge,light,ridge-light,14,1029.8369,1675.6037,180
1min,minimal,ridge,light,ridge-light,15,882.7487,1435.5105,180
1min,minimal,ridge,light,ridge-light,16,470.4231,834.9763,180
1min,minimal,ridge,light,ridge-light,17,253.2228,333.8956,180
1min,minimal,ridge,light,ridge-light,18,258.8374,315.0340,180
1min,minimal,ridge,light,ridge-light,19,287.5089,389.0232,180
1min,minimal,ridge,light,ridge-light,20,238.6278,302.0199,180
1min,minimal,ridge,light,ridge-light,21,227.9924,280.7985,180
1min,minimal,ridge,light,ridge-light,22,263.9832,350.3239,180
1min,minimal,ridge,light,ridge-light,23,250.0424,321.4156,180
1min,minimal,ridge,medium,ridge-medium,0,219.8094,284.1672,180
1min,minimal,ridge,medium,ridge-medium,1,305.7898,400.4082,180
1min,minimal,ridge,medium,ridge-medium,2,261.7995,411.9547,180
1min,minimal,ridge,medium,ridge-medium,3,585.7588,1321.1728,180
