experiment,resolution,feature_set,model,params,model_label,encoding,split,mae,rmse,n_train,n_eval,n_eval_total,eval_coverage,train_mae,train_rmse
baseline,1min,n/a,persistence,lag_1,persistence,n/a,validate,594.7170,1195.9468,0,4294,4296,0.9995,,
baseline,1min,n/a,previous_day,shift(periods_per_day),previous_day,n/a,validate,3777.8257,6289.6664,0,4296,4296,1.0000,,
baseline,1min,n/a,avg_workday,"mean(workday,hour)",avg_workday,n/a,validate,2107.5862,3599.4059,35984,4296,4296,1.0000,,
grid,1min,minimal,ridge,light,ridge-light,ohe,validate,651.8146,1188.0700,35975,4294,4296,0.9995,846.3718,1400.8693
grid,1min,minimal,ridge,medium,ridge-medium,ohe,validate,651.7676,1188.0618,35975,4294,4296,0.9995,846.3377,1400.8694
grid,1min,minimal,ridge,strong,ridge-strong,ohe,validate,651.3299,1187.9875,35975,4294,4296,0.9995,846.0322,1400.8754
grid,1min,minimal,hgb,conservative,hgb-conservative,raw,validate,662.0594,1197.1406,35984,4296,4296,1.0000,824.2675,1356.2364
grid,1min,minimal,hgb,balanced,hgb-balanced,raw,validate,691.0386,1220.7935,35984,4296,4296,1.0000,806.1208,1322.9759
grid,1min,minimal,hgb,aggressive,hgb-aggressive,raw,validate,695.3231,1223.2736,35984,4296,4296,1.0000,803.0052,1317.8646
grid,1min,temporal,ridge,light,ridge-light,ohe,validate,640.7724,1188.3332,35975,4294,4296,0.9995,847.1814,1400.4201
grid,1min,temporal,ridge,medium,ridge-medium,ohe,validate,640.7383,1188.3266,35975,4294,4296,0.9995,847.1592,1400.4201
grid,1min,temporal,ridge,strong,ridge-strong,ohe,validate,640.4055,1188.2623,35975,4294,4296,0.9995,846.9439,1400.4214
grid,1min,temporal,hgb,conservative,hgb-conservative,raw,validate,660.4794,1200.6707,35984,4296,4296,1.0000,818.4161,1346.9039
grid,1min,temporal,hgb,balanced,hgb-balanced,raw,validate,685.8428,1228.9886,35984,4296,4296,1.0000,772.4822,1272.2808
grid,1min,temporal,hgb,aggressive,hgb-aggressive,raw,validate,656.9662,1210.2263,35984,4296,4296,1.0000,765.8087,1265.4872
grid,1min,curated,ridge,light,ridge-light,ohe,validate,601.3829,1134.0899,34109,4152,4296,0.9665,793.6804,1322.6678
grid,1min,curated,ridge,medium,ridge-medium,ohe,validate,601.3743,1134.0887,34109,4152,4296,0.9665,793.6745,1322.6678
grid,1min,curated,ridge,strong,ridge-strong,ohe,validate,601.2901,1134.0766,34109,4152,4296,0.9665,793.6176,1322.6682
grid,1min,curated,hgb,conservative,hgb-conservative,raw,validate,662.0502,1169.4096,35984,4296,4296,1.0000,753.5512,1255.7272
grid,1min,curated,hgb,balanced,hgb-balanced,raw,validate,634.9960,1174.6033,35984,4296,4296,1.0000,658.6428,1100.2770
grid,1min,curated,hgb,aggressive,hgb-aggressive,raw,validate,634.1728,1168.9265,35984,4296,4296,1.0000,655.6172,1084.4186
grid,1min,full,ridge,light,ridge-light,ohe,validate,435.8861,835.4111,26169,1612,4296,0.3752,638.8526,1003.7205
grid,1min,full,ridge,medium,ridge-medium,ohe,validate,435.8004,835.3897,26169,1612,4296,0.3752,638.8426,1003.7205
grid,1min,full,ridge,strong,ridge-strong,ohe,validate,435.0039,835.1946,26169,1612,4296,0.3752,638.7466,1003.7219
grid,1min,full,hgb,conservative,hgb-conservative,raw,validate,569.5705,985.1266,35984,4296,4296,1.0000,650.2697,1012.6976
grid,1min,full,hgb,balanced,hgb-balanced,raw,validate,522.2057,959.9046,35984,4296,4296,1.0000,480.9472,740.4516
grid,1min,full,hgb,aggressive,hgb-aggressive,raw,validate,517.4471,949.8058,35984,4296,4296,1.0000,482.6195,733.4951
h1_control,1min,temporal_no_workday,ridge,medium,ridge-medium,ohe,validate,647.6705,1193.7901,35975,4294,4296,0.9995,847.1568,1400.5063
day_ahead,1min,day_ahead_calendar+prev_day,ridge,medium,ridge-medium,ohe,validate,2665.8329,3949.8697,34544,4296,4296,1.0000,2640.6955,3680.0970
grid,1min,full,hgb,aggressive,hgb-aggressive,raw,test,201.3576,269.0778,35984,4320,4320,1.0000,482.6195,733.4951
baseline,1min,n/a,persistence,lag_1,persistence,n/a,test,173.7241,270.9570,0,4320,4320,1.0000,,
baseline,1min,n/a,previous_day,shift(periods_per_day),previous_day,n/a,test,1193.9637,1561.9262,0,4320,4320,1.0000,,
baseline,1min,n/a,avg_workday,"mean(workday,hour)",avg_workday,n/a,test,852.5927,1174.5665,35984,4320,4320,1.0000,,
